epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,31633.6,0.64588,0.78404,1.21808,0.97995,0.31803,0.63248,0.34908,0.26856,0.29006,0.60204,0.31946,0.23414,0.73714,0.82506,2.31727,1.00248,0.000225068,0.000225068,0.000225068
78,31677.5,0.64567,0.87404,1.18318,0.96602,0.32586,0.61202,0.34296,0.26321,0.29823,0.58741,0.31298,0.22966,0.7361,0.82277,2.31645,1.00212,0.000216069,0.000216069,0.000216069
79,31719,0.68991,0.93357,1.23626,0.96283,0.33512,0.63654,0.34404,0.26451,0.3074,0.61601,0.31884,0.23414,0.73186,0.82279,2.31676,0.99793,0.00020707,0.00020707,0.00020707
80,31762.4,0.68434,0.87007,1.18176,0.94133,0.33512,0.63654,0.34404,0.26451,0.3074,0.61601,0.31884,0.23414,0.73186,0.82279,2.31676,0.99793,0.000198071,0.000198071,0.000198071
81,31890.5,0.74022,1.07565,1.19464,0.94695,0.3401,0.61451,0.35019,0.26912,0.30568,0.5699,0.3223,0.247,0.72921,0.833,2.29125,0.99682,0.000189072,0.000189072,0.000189072
82,31992.7,0.74196,1.00979,1.19889,0.96206,0.3401,0.61451,0.35019,0.26912,0.30568,0.5699,0.3223,0.247,0.72921,0.833,2.29125,0.99682,0.000180073,0.000180073,0.000180073
83,32037.9,0.69329,0.96184,1.18745,0.96993,0.33034,0.59974,0.34017,0.2594,0.29787,0.56213,0.31812,0.24365,0.72758,0.83495,2.31006,0.99758,0.000171074,0.000171074,0.000171074
84,32123.6,0.67466,1.097,1.20915,0.95412,0.31654,0.57106,0.32474,0.2488,0.29294,0.54354,0.30342,0.23124,0.71586,0.8375,2.34906,0.99164,0.000162075,0.000162075,0.000162075
85,32167.6,0.80452,1.61486,1.39042,1.01826,0.31654,0.57106,0.32474,0.2488,0.29294,0.54354,0.30342,0.23124,0.71586,0.8375,2.34906,0.99164,0.000153076,0.000153076,0.000153076
86,32216.5,0.69304,0.88546,1.28663,0.95506,0.31615,0.55713,0.32036,0.24624,0.28939,0.53068,0.29684,0.22918,0.71831,0.83623,2.38847,0.9915,0.000144077,0.000144077,0.000144077
