epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,30984.9,0.63698,1.15809,0.72735,0.97098,0,0.58959,0.63275,0.64731,0.50666,0.47654,0.5252,0.52991,0.39431,0.84495,1.44766,1.1268,1.18509,0,0.000354691,0.000354691,0.000354691
60,31193,0.62849,1.12494,0.72562,0.97086,0,0.63429,0.6334,0.66001,0.52358,0.53935,0.55801,0.55862,0.418,0.82265,1.32973,1.03794,1.15806,0,0.000346445,0.000346445,0.000346445
61,31403.8,0.63101,1.1516,0.7247,0.96671,0,0.58074,0.76877,0.67454,0.5267,0.51961,0.58179,0.55946,0.40945,0.82603,1.34809,1.07685,1.1662,0,0.000338198,0.000338198,0.000338198
62,31618.6,0.60494,1.08446,0.692,0.95823,0,0.59913,0.68241,0.64335,0.49678,0.50259,0.58963,0.53719,0.39385,0.84016,1.42006,1.16025,1.16642,0,0.000329951,0.000329951,0.000329951
63,31834.8,0.58795,1.11134,0.68749,0.95714,0,0.60951,0.73063,0.66611,0.51915,0.51187,0.60209,0.5479,0.40971,0.80648,1.34243,1.06952,1.17083,0,0.000321705,0.000321705,0.000321705
64,32050,0.60538,1.09252,0.69206,0.95258,0,0.60732,0.65587,0.66897,0.52582,0.4924,0.5392,0.55365,0.41996,0.82116,1.35443,1.07064,1.18501,0,0.000313458,0.000313458,0.000313458
65,32265.8,0.61179,1.13917,0.70459,0.96108,0,0.60805,0.70908,0.68347,0.54251,0.48993,0.60287,0.57232,0.44554,0.8308,1.32156,1.0595,1.17833,0,0.000305211,0.000305211,0.000305211
66,32485.4,0.60758,1.11523,0.68262,0.95999,0,0.57412,0.70744,0.67486,0.52726,0.46473,0.59781,0.56725,0.41302,0.82536,1.32052,1.08793,1.154,0,0.000296964,0.000296964,0.000296964
67,32702.1,0.60727,1.06148,0.67076,0.95518,0,0.62479,0.64516,0.68673,0.53011,0.51043,0.54678,0.57231,0.40084,0.83385,1.44851,1.0806,1.14535,0,0.000288718,0.000288718,0.000288718
68,32918.7,0.60094,1.10906,0.67859,0.95275,0,0.59994,0.72501,0.69781,0.54342,0.48644,0.60806,0.57944,0.43386,0.83215,1.40899,1.03098,1.15556,0,0.000280471,0.000280471,0.000280471
69,33134.8,0.58715,1.05394,0.66366,0.95001,0,0.56179,0.73106,0.67472,0.51888,0.49262,0.5819,0.55743,0.41402,0.82952,1.31001,1.04935,1.17777,0,0.000272224,0.000272224,0.000272224
